variant,strategy,load,density,n,critical_mean_wait_h_mean,critical_mean_wait_h_sd,critical_p95_wait_h_mean,critical_p95_wait_h_sd,urgent_within_6h_pct_mean,urgent_within_6h_pct_sd,mean_wait_h_mean,mean_wait_h_sd,p95_wait_h_mean,p95_wait_h_sd,utilisation_gini_mean,utilisation_gini_sd,mean_distance_km_mean,mean_distance_km_sd,cross_cluster_pct_mean,cross_cluster_pct_sd,completed_within_horizon_pct_mean,completed_within_horizon_pct_sd,regional_fairness_jain_mean,regional_fairness_jain_sd,escalated_pct_mean,escalated_pct_sd,unassigned_pct_mean,unassigned_pct_sd
levelled-vulnerability,MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,10,0.8301,0.3917,2.4850,0.9851,91.2597,8.5477,13.5367,2.6452,52.0433,9.9601,0.0145,0.0028,34.7213,1.7996,37.9167,2.8388,68.8889,3.1366,0.9917,0.0061,0.0694,0.2196,0.0000,0.0000
levelled-vulnerability,FIFO,HIGH,SPARSE,10,80.8146,8.5453,154.8150,7.0653,19.0933,3.0620,80.3254,2.5854,154.9617,3.7609,0.0055,0.0016,53.9589,1.6763,65.9375,2.5116,29.7569,1.3503,0.9680,0.0216,0.0347,0.1098,0.0000,0.0000
levelled-vulnerability,WEIGHTED_SCORING,HIGH,SPARSE,10,20.8823,4.4704,70.4683,23.6923,30.2631,4.0511,80.1293,2.1610,187.9417,4.1430,0.0056,0.0020,53.5461,1.6863,65.0000,1.5424,29.4444,0.9230,0.9696,0.0242,0.1042,0.1677,0.0000,0.0000
levelled-vulnerability,GEO_NEAREST,HIGH,SPARSE,10,44.9414,7.9205,121.7100,14.4139,32.0817,4.3563,45.8602,1.0979,126.6350,4.0676,0.0077,0.0024,24.7171,1.3805,23.9583,2.4223,40.7639,0.9711,0.9706,0.0181,0.0694,0.1464,0.0000,0.0000
levelled-vulnerability,MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,10,3.0868,1.3770,10.5783,5.3369,45.6273,7.1478,53.7630,1.0535,134.1033,4.6095,0.0074,0.0011,26.8512,1.3105,26.1806,2.0127,34.3403,1.1510,0.9890,0.0072,0.0000,0.0000,0.0000,0.0000
doubled-urgency,FIFO,LOW,SPARSE,10,1.0661,0.6067,3.7817,2.5120,97.8626,4.3510,1.0704,0.5901,4.5200,2.5771,0.0293,0.0094,53.3674,2.2792,65.2778,3.0709,92.0833,5.1988,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
doubled-urgency,WEIGHTED_SCORING,LOW,SPARSE,10,0.5693,0.3714,1.8950,0.9065,100.0000,0.0000,1.2574,0.8547,6.3150,4.7266,0.0272,0.0085,54.6555,3.5514,67.6389,5.7843,92.2222,3.5980,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
doubled-urgency,GEO_NEAREST,LOW,SPARSE,10,0.3211,0.3401,1.1733,1.2275,100.0000,0.0000,0.3104,0.2751,1.9217,1.4970,0.0683,0.0178,30.9736,4.9237,32.0833,6.5946,95.5556,2.9860,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
doubled-urgency,MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,10,0.2410,0.2158,1.1067,1.0240,100.0000,0.0000,0.4101,0.4010,2.3383,2.0648,0.0665,0.0222,32.8452,6.0548,34.8611,7.8143,94.7222,3.8064,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
doubled-urgency,FIFO,MEDIUM,SPARSE,10,21.2734,6.9429,42.3200,5.1861,30.9063,6.3888,21.6333,3.6626,42.5667,4.4753,0.0102,0.0028,51.7956,3.2654,64.6528,4.7940,59.2361,2.1479,0.9833,0.0142,0.0694,0.2196,0.0000,0.0000
doubled-urgency,WEIGHTED_SCORING,MEDIUM,SPARSE,10,1.0851,0.2991,2.9533,0.8198,85.7874,7.7796,22.4783,2.4123,82.7400,7.1610,0.0094,0.0028,53.5132,1.3439,67.2222,2.4888,57.9861,1.3985,0.9906,0.0057,0.0694,0.2196,0.0000,0.0000
doubled-urgency,GEO_NEAREST,MEDIUM,SPARSE,10,8.3720,5.1671,35.1800,17.3398,69.0665,5.7983,8.3703,1.3305,40.6150,8.6108,0.0149,0.0046,28.4897,2.3796,29.1667,4.1538,79.5139,2.9689,0.9927,0.0052,0.0000,0.0000,0.0000,0.0000
doubled-urgency,MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,10,0.8689,0.3653,2.6950,1.0582,93.5786,5.9916,14.3452,2.3956,60.7517,10.1106,0.0134,0.0031,36.2373,2.3542,39.9306,3.5296,67.2917,2.0561,0.9929,0.0066,0.0694,0.2196,0.0000,0.0000
doubled-urgency,FIFO,HIGH,SPARSE,10,80.8146,8.5453,154.8150,7.0653,19.0933,3.0620,80.3254,2.5854,154.9617,3.7609,0.0055,0.0016,53.9589,1.6763,65.9375,2.5116,29.7569,1.3503,0.9680,0.0216,0.0347,0.1098,0.0000,0.0000
doubled-urgency,WEIGHTED_SCORING,HIGH,SPARSE,10,7.5355,3.4612,25.2650,7.1249,37.1066,5.7252,80.4638,1.9332,192.7650,5.4050,0.0052,0.0013,54.3637,1.6818,66.7014,1.5908,29.8264,0.9324,0.9721,0.0264,0.0694,0.1464,0.0000,0.0000
doubled-urgency,GEO_NEAREST,HIGH,SPARSE,10,44.9414,7.9205,121.7100,14.4139,32.0817,4.3563,45.8602,1.0979,126.6350,4.0676,0.0077,0.0024,24.7171,1.3805,23.9583,2.4223,40.7639,0.9711,0.9706,0.0181,0.0694,0.1464,0.0000,0.0000
doubled-urgency,MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,10,2.5509,1.5160,8.8633,5.3656,45.3969,4.6644,54.5055,1.3913,135.1050,5.7913,0.0068,0.0025,27.0088,1.6354,26.4583,2.7960,33.9583,1.0455,0.9847,0.0115,0.1042,0.1677,0.0000,0.0000
uncapped-waiting,FIFO,LOW,SPARSE,10,1.0661,0.6067,3.7817,2.5120,97.8626,4.3510,1.0704,0.5901,4.5200,2.5771,0.0293,0.0094,53.3674,2.2792,65.2778,3.0709,92.0833,5.1988,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
uncapped-waiting,WEIGHTED_SCORING,LOW,SPARSE,10,0.5392,0.5417,1.8050,1.2902,100.0000,0.0000,1.2032,0.7121,6.3867,3.8238,0.0244,0.0085,54.4527,3.2784,67.5000,4.9949,91.3889,4.8023,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
uncapped-waiting,GEO_NEAREST,LOW,SPARSE,10,0.3211,0.3401,1.1733,1.2275,100.0000,0.0000,0.3104,0.2751,1.9217,1.4970,0.0683,0.0178,30.9736,4.9237,32.0833,6.5946,95.5556,2.9860,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
uncapped-waiting,MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,10,0.2410,0.2158,1.1067,1.0240,100.0000,0.0000,0.4094,0.3996,2.2933,1.9661,0.0689,0.0190,32.3204,5.6968,34.1667,7.2966,95.1389,3.6600,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
uncapped-waiting,FIFO,MEDIUM,SPARSE,10,21.2734,6.9429,42.3200,5.1861,30.9063,6.3888,21.6333,3.6626,42.5667,4.4753,0.0102,0.0028,51.7956,3.2654,64.6528,4.7940,59.2361,2.1479,0.9833,0.0142,0.0694,0.2196,0.0000,0.0000
uncapped-waiting,WEIGHTED_SCORING,MEDIUM,SPARSE,10,2.6146,1.4084,15.2333,9.8599,66.3188,7.9838,21.7486,2.5938,63.6067,5.6992,0.0098,0.0021,52.1146,1.9530,65.1389,2.6352,58.9583,1.8933,0.9833,0.0165,0.1389,0.2928,0.0000,0.0000
uncapped-waiting,GEO_NEAREST,MEDIUM,SPARSE,10,8.3720,5.1671,35.1800,17.3398,69.0665,5.7983,8.3703,1.3305,40.6150,8.6108,0.0149,0.0046,28.4897,2.3796,29.1667,4.1538,79.5139,2.9689,0.9927,0.0052,0.0000,0.0000,0.0000,0.0000
uncapped-waiting,MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,10,0.9394,0.4374,2.7683,1.1336,89.9450,9.0483,14.0328,1.9665,52.8600,6.6535,0.0133,0.0031,35.6643,1.7709,39.5833,3.5410,68.1250,2.2550,0.9855,0.0125,0.2083,0.3354,0.0000,0.0000
uncapped-waiting,FIFO,HIGH,SPARSE,10,80.8146,8.5453,154.8150,7.0653,19.0933,3.0620,80.3254,2.5854,154.9617,3.7609,0.0055,0.0016,53.9589,1.6763,65.9375,2.5116,29.7569,1.3503,0.9680,0.0216,0.0347,0.1098,0.0000,0.0000
uncapped-waiting,WEIGHTED_SCORING,HIGH,SPARSE,10,33.1054,9.6816,106.3900,35.1192,31.0133,4.8965,80.7165,3.0984,163.5600,4.0254,0.0052,0.0017,54.5091,2.6321,67.2569,2.7828,29.6181,1.2034,0.9619,0.0433,0.0000,0.0000,0.0000,0.0000
uncapped-waiting,GEO_NEAREST,HIGH,SPARSE,10,44.9414,7.9205,121.7100,14.4139,32.0817,4.3563,45.8602,1.0979,126.6350,4.0676,0.0077,0.0024,24.7171,1.3805,23.9583,2.4223,40.7639,0.9711,0.9706,0.0181,0.0694,0.1464,0.0000,0.0000
uncapped-waiting,MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,10,3.1058,1.9424,12.0117,8.0839,43.7104,6.2610,54.6113,1.6607,116.1183,3.7549,0.0072,0.0020,27.4166,1.3043,27.1181,1.8838,34.0972,1.3176,0.9818,0.0136,0.0347,0.1098,0.0000,0.0000
no-vulnerability,FIFO,LOW,SPARSE,10,1.0661,0.6067,3.7817,2.5120,97.8626,4.3510,1.0704,0.5901,4.5200,2.5771,0.0293,0.0094,53.3674,2.2792,65.2778,3.0709,92.0833,5.1988,1.0000,0.0000,0.1389,0.4392,0.0000,0.0000
no-vulnerability,WEIGHTED_SCORING,LOW,SPARSE,10,0.5816,0.3894,2.0833,1.0718,99.6429,1.1294,1.1300,0.6412,5.5667,3.1458,0.0288,0.0086,54.8260,3.9325,67.9167,6.3630,92.3611,4.1019,0.9999,0.0001,0.2778,0.5856,0.0000,0.0000
no-vulnerability,GEO_NEAREST,LOW,SPARSE,10,0.3211,0.3401,1.1733,1.2275,100.0000,0.0000,0.3104,0.2751,1.9217,1.4970,0.0683,0.0178,30.9736,4.9237,32.0833,6.5946,95.5556,2.9860,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
no-vulnerability,MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,10,0.2225,0.2112,0.9533,0.8540,100.0000,0.0000,0.4268,0.4042,2.3417,1.9809,0.0666,0.0209,32.6981,5.6490,34.7222,7.2613,95.4167,2.9317,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000
no-vulnerability,FIFO,MEDIUM,SPARSE,10,21.2734,6.9429,42.3200,5.1861,30.9063,6.3888,21.6333,3.6626,42.5667,4.4753,0.0102,0.0028,51.7956,3.2654,64.6528,4.7940,59.2361,2.1479,0.9833,0.0142,0.0694,0.2196,0.0000,0.0000
no-vulnerability,WEIGHTED_SCORING,MEDIUM,SPARSE,10,1.6086,0.7602,6.9883,4.1734,70.3540,6.6665,22.4685,3.1029,79.3117,9.6781,0.0090,0.0034,53.3626,2.2826,66.6667,1.7010,58.2639,2.0299,0.9918,0.0092,0.0694,0.2196,0.0000,0.0000
no-vulnerability,GEO_NEAREST,MEDIUM,SPARSE,10,8.3720,5.1671,35.1800,17.3398,69.0665,5.7983,8.3703,1.3305,40.6150,8.6108,0.0149,0.0046,28.4897,2.3796,29.1667,4.1538,79.5139,2.9689,0.9927,0.0052,0.0000,0.0000,0.0000,0.0000
no-vulnerability,MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,SPARSE,10,0.8887,0.4887,2.8683,1.4905,92.3530,5.6734,13.5177,1.5398,50.7467,5.2559,0.0131,0.0034,34.9413,2.0630,38.0556,3.2867,68.8889,2.6756,0.9901,0.0065,0.0694,0.2196,0.0000,0.0000
no-vulnerability,FIFO,HIGH,SPARSE,10,80.8146,8.5453,154.8150,7.0653,19.0933,3.0620,80.3254,2.5854,154.9617,3.7609,0.0055,0.0016,53.9589,1.6763,65.9375,2.5116,29.7569,1.3503,0.9680,0.0216,0.0347,0.1098,0.0000,0.0000
no-vulnerability,WEIGHTED_SCORING,HIGH,SPARSE,10,12.9927,2.4176,34.9217,3.6403,26.4857,4.7003,81.0903,2.6151,190.7133,4.0616,0.0053,0.0017,54.5675,2.2633,67.1181,2.8116,29.5486,1.1741,0.9817,0.0140,0.0694,0.2196,0.0000,0.0000
no-vulnerability,GEO_NEAREST,HIGH,SPARSE,10,44.9414,7.9205,121.7100,14.4139,32.0817,4.3563,45.8602,1.0979,126.6350,4.0676,0.0077,0.0024,24.7171,1.3805,23.9583,2.4223,40.7639,0.9711,0.9706,0.0181,0.0694,0.1464,0.0000,0.0000
no-vulnerability,MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,10,2.2728,0.4227,7.7267,2.0938,44.1188,4.7929,54.5229,1.7053,134.8250,4.6936,0.0076,0.0023,27.3061,0.7854,27.5000,1.4156,33.6111,1.1198,0.9806,0.0177,0.0347,0.1098,0.0000,0.0000
