strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
FIFO,LOW,SPARSE,7,20260924,72,6,0.0000,0.0000,100.0000,0.1310,1.2333,0.0299,52.5702,63.8889,94.4444,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,7,20260924,72,6,0.0000,0.0000,100.0000,0.1310,1.2333,0.0299,52.5702,63.8889,94.4444,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,SPARSE,7,20260924,72,6,0.0000,0.0000,100.0000,0.0204,0.2667,0.0650,25.2148,22.2222,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,7,20260924,72,6,0.0000,0.0000,100.0000,0.0204,0.2667,0.0650,25.2148,22.2222,97.2222,1.0000,0.0000,0.0000
FIFO,LOW,SPARSE,8,20260925,72,6,0.4646,1.9333,100.0000,0.7875,3.9000,0.0261,56.0727,65.2778,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,8,20260925,72,6,0.5417,1.9333,100.0000,0.6171,3.3167,0.0255,54.6884,63.8889,93.0556,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,SPARSE,8,20260925,72,6,0.1896,1.0333,100.0000,0.3856,2.3667,0.0491,40.7036,43.0556,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,8,20260925,72,6,0.1896,1.0333,100.0000,0.3924,2.1000,0.0383,43.7216,45.8333,95.8333,1.0000,0.0000,0.0000
FIFO,LOW,SPARSE,9,20260926,72,6,1.3600,3.7833,100.0000,0.8660,3.7833,0.0276,52.7727,69.4444,95.8333,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,SPARSE,9,20260926,72,6,0.7150,2.8833,100.0000,0.9519,4.4500,0.0272,53.0441,70.8333,97.2222,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,SPARSE,9,20260926,72,6,0.4533,1.0667,100.0000,0.3859,2.4167,0.0875,33.1870,37.5000,98.6111,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,SPARSE,9,20260926,72,6,0.4033,1.0000,100.0000,0.4146,3.0167,0.0850,34.5077,40.2778,98.6111,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,0,20261017,72,18,0.1690,0.7167,100.0000,0.0197,0.0500,0.1001,56.2260,65.2778,91.6667,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,0,20261017,72,18,0.1690,0.7167,100.0000,0.0197,0.0500,0.1001,56.2260,65.2778,91.6667,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,0,20261017,72,18,0.0000,0.0000,100.0000,0.0148,0.1000,0.3430,6.1728,0.0000,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,0,20261017,72,18,0.0000,0.0000,100.0000,0.0148,0.1000,0.3430,6.1728,0.0000,95.8333,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,1,20261018,72,18,0.0000,0.0000,100.0000,0.0350,0.3500,0.1108,49.9520,63.8889,95.8333,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,1,20261018,72,18,0.0000,0.0000,100.0000,0.0350,0.3500,0.1108,49.9520,63.8889,95.8333,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,1,20261018,72,18,0.0300,0.3000,100.0000,0.0178,0.1500,0.5095,8.1278,0.0000,98.6111,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,1,20261018,72,18,0.0300,0.3000,100.0000,0.0178,0.1500,0.5095,8.1278,0.0000,98.6111,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,2,20261019,72,18,0.0241,0.2167,100.0000,0.0113,0.0833,0.0939,59.9076,72.2222,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,2,20261019,72,18,0.0241,0.2167,100.0000,0.0113,0.0833,0.0939,59.9076,72.2222,93.0556,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,2,20261019,72,18,0.0870,0.4167,100.0000,0.0488,0.3667,0.3436,6.9057,0.0000,94.4444,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,2,20261019,72,18,0.0870,0.4167,100.0000,0.0488,0.3667,0.3436,6.9057,0.0000,94.4444,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,3,20261020,72,18,0.0370,0.3333,100.0000,0.0498,0.3500,0.0765,50.2745,61.1111,95.8333,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,3,20261020,72,18,0.0370,0.3333,100.0000,0.0498,0.3500,0.0765,50.2745,61.1111,95.8333,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,3,20261020,72,18,0.0111,0.1000,100.0000,0.0336,0.2833,0.3324,6.6666,0.0000,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,3,20261020,72,18,0.0111,0.1000,100.0000,0.0336,0.2833,0.3324,6.6666,0.0000,97.2222,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,4,20261021,72,18,0.0800,0.4000,100.0000,0.0252,0.2333,0.0717,54.0073,65.2778,98.6111,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,4,20261021,72,18,0.0800,0.4000,100.0000,0.0252,0.2333,0.0717,54.0073,65.2778,98.6111,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,4,20261021,72,18,0.0000,0.0000,100.0000,0.0373,0.2333,0.3867,7.6687,0.0000,100.0000,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,LOW,DENSE,4,20261021,72,18,0.0000,0.0000,100.0000,0.0373,0.2333,0.3867,7.6687,0.0000,100.0000,1.0000,0.0000,0.0000
FIFO,LOW,DENSE,5,20261022,72,18,0.0000,0.0000,100.0000,0.0137,0.0833,0.0926,53.7909,65.2778,87.5000,1.0000,0.0000,0.0000
WEIGHTED_SCORING,LOW,DENSE,5,20261022,72,18,0.0000,0.0000,100.0000,0.0137,0.0833,0.0926,53.7909,65.2778,87.5000,1.0000,0.0000,0.0000
GEO_NEAREST,LOW,DENSE,5,20261022,72,18,0.0033,0.0333,100.0000,0.0521,0.4833,0.3285,6.8860,0.0000,93.0556,1.0000,1.3889,0.0000
