strategy,load,density,repetition,seed,requests,providers,critical_mean_wait_h,critical_p95_wait_h,urgent_within_6h_pct,mean_wait_h,p95_wait_h,utilisation_gini,mean_distance_km,cross_cluster_pct,completed_within_horizon_pct,regional_fairness_jain,escalated_pct,unassigned_pct
FIFO,MEDIUM,DENSE,5,20262022,144,18,0.0282,0.3667,100.0000,0.0369,0.2667,0.0435,56.8398,70.1389,89.5833,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,5,20262022,144,18,0.0282,0.3667,100.0000,0.0369,0.2667,0.0435,56.8398,70.1389,89.5833,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,5,20262022,144,18,0.0000,0.0000,100.0000,0.0355,0.3667,0.2074,9.4142,1.3889,95.1389,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,5,20262022,144,18,0.0000,0.0000,100.0000,0.0355,0.3667,0.2088,9.4133,1.3889,95.1389,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,6,20262023,144,18,0.0106,0.1167,100.0000,0.0325,0.3000,0.0430,53.9389,64.5833,92.3611,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,6,20262023,144,18,0.0106,0.1167,100.0000,0.0255,0.1667,0.0482,57.0989,68.0556,92.3611,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,6,20262023,144,18,0.0409,0.3167,100.0000,0.0358,0.2833,0.2732,8.8757,2.0833,93.7500,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,6,20262023,144,18,0.0409,0.3167,100.0000,0.0358,0.2833,0.2732,8.8757,2.0833,93.7500,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,7,20262024,144,18,0.0294,0.4667,100.0000,0.0402,0.2833,0.0308,57.8795,70.8333,92.3611,1.0000,0.6944,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,7,20262024,144,18,0.0294,0.4667,100.0000,0.0402,0.2833,0.0308,57.8795,70.8333,92.3611,1.0000,0.6944,0.0000
GEO_NEAREST,MEDIUM,DENSE,7,20262024,144,18,0.0059,0.1000,100.0000,0.0176,0.1500,0.2252,10.3130,2.7778,97.2222,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,7,20262024,144,18,0.0059,0.1000,100.0000,0.0176,0.1500,0.2252,10.3130,2.7778,97.2222,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,8,20262025,144,18,0.0844,0.7833,100.0000,0.0222,0.1500,0.0498,52.2436,64.5833,92.3611,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,8,20262025,144,18,0.0844,0.7833,100.0000,0.0222,0.1500,0.0498,52.2436,64.5833,92.3611,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,8,20262025,144,18,0.0878,0.5000,100.0000,0.0286,0.2667,0.2905,8.7411,0.6944,95.8333,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,8,20262025,144,18,0.0878,0.5000,100.0000,0.0321,0.2667,0.2856,8.8003,1.3889,95.8333,1.0000,0.0000,0.0000
FIFO,MEDIUM,DENSE,9,20262026,144,18,0.0024,0.0333,100.0000,0.0272,0.2000,0.0434,51.6383,61.8056,93.0556,1.0000,0.0000,0.0000
WEIGHTED_SCORING,MEDIUM,DENSE,9,20262026,144,18,0.0024,0.0333,100.0000,0.0272,0.2000,0.0434,51.6383,61.8056,93.0556,1.0000,0.0000,0.0000
GEO_NEAREST,MEDIUM,DENSE,9,20262026,144,18,0.0000,0.0000,100.0000,0.0256,0.1333,0.2291,7.1329,0.0000,95.8333,1.0000,0.6944,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,MEDIUM,DENSE,9,20262026,144,18,0.0000,0.0000,100.0000,0.0256,0.1333,0.2291,7.1329,0.0000,95.8333,1.0000,0.6944,0.0000
FIFO,HIGH,SPARSE,0,20262917,288,6,75.0885,148.5333,15.9292,80.3548,153.0833,0.0056,53.8790,63.1944,30.5556,0.9798,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,0,20262917,288,6,26.0044,93.5500,34.5133,79.9034,190.9667,0.0033,52.2974,63.5417,28.8194,0.8966,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,0,20262917,288,6,43.5810,132.8167,33.6283,48.0306,133.7833,0.0107,27.8259,29.1667,41.3194,0.9538,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,0,20262917,288,6,2.2579,10.4167,52.2124,57.8933,141.3167,0.0058,28.8324,29.8611,33.3333,0.9696,0.0000,0.0000
FIFO,HIGH,SPARSE,1,20262918,288,6,81.1556,156.9167,19.3548,83.0531,158.1333,0.0056,54.4123,66.3194,28.8194,0.9931,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,1,20262918,288,6,20.0375,46.4833,23.6559,84.7565,194.1167,0.0065,55.5325,66.6667,28.8194,0.9951,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,1,20262918,288,6,41.9764,122.1500,32.2581,46.6303,125.3500,0.0043,22.6712,22.5694,40.9722,0.9752,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,1,20262918,288,6,1.6090,3.6833,51.6129,54.4131,135.7167,0.0064,24.9017,24.3056,34.3750,0.9830,0.0000,0.0000
FIFO,HIGH,SPARSE,2,20262919,288,6,90.1015,168.0833,22.8571,83.7099,162.5833,0.0033,56.7863,71.1806,29.5139,0.9184,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,2,20262919,288,6,25.6121,88.2167,25.7143,80.1839,186.4167,0.0048,53.2632,66.3194,29.1667,0.9715,0.6944,0.0000
GEO_NEAREST,HIGH,SPARSE,2,20262919,288,6,39.6985,102.1167,30.4762,45.5470,130.9167,0.0082,24.9201,25.0000,41.3194,0.9770,0.3472,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,2,20262919,288,6,2.1614,6.2167,50.4762,52.8063,129.0000,0.0080,26.4824,26.3889,34.0278,0.9986,0.0000,0.0000
FIFO,HIGH,SPARSE,3,20262920,288,6,84.5788,148.8667,17.8571,79.8050,155.7000,0.0050,55.4008,68.0556,29.5139,0.9831,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,3,20262920,288,6,28.8803,91.7000,25.0000,79.3036,188.4667,0.0063,53.5080,64.9306,29.5139,0.8997,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,3,20262920,288,6,29.0470,105.9000,35.7143,44.9168,121.3000,0.0074,23.3387,20.8333,41.3194,0.9695,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,3,20262920,288,6,1.3576,4.1000,38.3929,53.4405,130.8167,0.0050,26.0969,25.3472,33.6806,0.9741,0.0000,0.0000
FIFO,HIGH,SPARSE,4,20262921,288,6,81.8177,152.6667,14.5631,79.4983,154.1833,0.0069,52.5427,62.5000,29.8611,0.9586,0.3472,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,4,20262921,288,6,25.6387,88.9500,35.9223,81.9753,192.4833,0.0056,55.6484,65.6250,29.5139,0.9950,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,4,20262921,288,6,50.4177,142.6667,30.0971,44.7630,130.5833,0.0100,24.8544,25.0000,41.3194,0.9555,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,4,20262921,288,6,6.2882,20.3667,34.9515,53.7802,135.8500,0.0112,28.5828,28.8194,35.7639,0.9810,0.3472,0.0000
FIFO,HIGH,SPARSE,5,20262922,288,6,85.6887,155.4833,22.2222,76.4399,153.1833,0.0043,52.9544,66.6667,31.9444,0.9708,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,5,20262922,288,6,25.5036,91.3667,35.3535,77.0153,184.9667,0.0045,52.5732,67.3611,31.2500,0.9839,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,5,20262922,288,6,41.8581,103.4000,24.2424,46.1071,122.2833,0.0068,25.1519,25.0000,39.2361,0.9964,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,5,20262922,288,6,5.4369,19.3667,43.4343,53.7844,140.2000,0.0053,28.6808,28.8194,35.0694,0.9859,0.0000,0.0000
FIFO,HIGH,SPARSE,6,20262923,288,6,66.8806,160.5167,21.8750,82.6138,156.9833,0.0036,55.4062,66.3194,28.1250,0.9835,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,6,20262923,288,6,14.6840,61.7167,31.2500,83.0140,186.9167,0.0079,57.3767,67.3611,28.4722,0.9912,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,6,20262923,288,6,58.7194,135.2667,36.4583,44.5281,123.8000,0.0097,23.8392,21.5278,41.6667,0.9374,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,6,20262923,288,6,1.5854,6.8000,39.5833,56.7334,132.3333,0.0093,28.3282,29.1667,31.5972,0.9711,0.0000,0.0000
FIFO,HIGH,SPARSE,7,20262924,288,6,83.2000,145.0333,20.3883,78.8325,149.6500,0.0072,50.9447,65.9722,29.8611,0.9707,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,7,20262924,288,6,25.2100,84.0500,33.9806,76.3625,181.0667,0.0055,50.2737,65.2778,31.2500,0.9998,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,7,20262924,288,6,45.8600,116.6667,37.8641,45.0850,127.6667,0.0032,24.7406,23.9583,41.3194,0.9834,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,7,20262924,288,6,2.0292,6.2667,50.4854,57.1153,140.0833,0.0055,27.7244,27.7778,32.6389,0.9959,0.0000,0.0000
FIFO,HIGH,SPARSE,8,20262925,288,6,67.6256,150.6500,20.7921,76.6191,150.6333,0.0055,53.0859,63.8889,31.5972,0.9483,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,8,20262925,288,6,19.9875,105.1000,33.6634,78.5043,185.4833,0.0068,52.5461,62.8472,28.8194,0.9625,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,8,20262925,288,6,47.0530,132.9667,33.6634,46.2677,124.2500,0.0091,25.3040,24.6528,40.2778,0.9916,0.3472,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,8,20262925,288,6,5.4464,27.6000,36.6337,56.0319,140.3500,0.0128,29.4456,30.5556,33.3333,0.9980,0.0000,0.0000
FIFO,HIGH,SPARSE,9,20262926,288,6,92.0089,161.4000,15.0943,82.3278,155.4833,0.0082,54.1770,65.2778,27.7778,0.9733,0.0000,0.0000
WEIGHTED_SCORING,HIGH,SPARSE,9,20262926,288,6,15.4130,41.7500,38.6792,80.9154,188.6667,0.0043,54.6534,66.6667,29.1667,0.9604,0.0000,0.0000
GEO_NEAREST,HIGH,SPARSE,9,20262926,288,6,51.2031,123.1500,26.4151,46.7262,126.4167,0.0077,24.5253,21.8750,38.8889,0.9665,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,SPARSE,9,20262926,288,6,3.0667,13.2667,46.2264,55.0041,136.3667,0.0065,26.8301,24.6528,33.3333,0.9799,0.0000,0.0000
FIFO,HIGH,DENSE,0,20263017,288,18,2.2848,8.3333,91.0714,2.5929,8.7667,0.0132,55.5341,63.1944,87.1528,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,0,20263017,288,18,0.3329,1.1833,98.2143,2.7128,16.6000,0.0109,56.9917,65.9722,85.7639,0.9998,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,0,20263017,288,18,0.1381,1.0500,100.0000,0.0848,0.5833,0.0646,27.3619,25.6944,93.4028,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,0,20263017,288,18,0.1205,0.8333,100.0000,0.0944,0.6000,0.0670,26.1412,24.3056,93.7500,1.0000,0.3472,0.0000
FIFO,HIGH,DENSE,1,20263018,288,18,5.9297,14.1333,50.5376,5.6420,14.2667,0.0156,52.9767,66.3194,86.8056,1.0000,0.3472,0.0000
WEIGHTED_SCORING,HIGH,DENSE,1,20263018,288,18,0.3740,1.4000,95.6989,5.3208,29.3667,0.0155,52.4479,65.6250,86.8056,0.9993,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,1,20263018,288,18,0.1339,0.9000,100.0000,0.1644,1.2833,0.0508,27.2334,28.1250,97.2222,1.0000,0.6944,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,1,20263018,288,18,0.1417,0.6167,100.0000,0.3020,1.8167,0.0267,37.8492,43.7500,95.4861,1.0000,0.6944,0.0000
FIFO,HIGH,DENSE,2,20263019,288,18,1.2325,4.3333,94.1667,1.4349,5.9667,0.0183,51.8830,62.8472,85.0694,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,2,20263019,288,18,0.7786,2.9333,97.5000,1.6299,9.2667,0.0138,53.0924,64.5833,85.0694,1.0000,0.3472,0.0000
GEO_NEAREST,HIGH,DENSE,2,20263019,288,18,0.0294,0.0167,100.0000,0.1569,0.8333,0.0697,23.2777,22.5694,90.9722,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,2,20263019,288,18,0.0294,0.0167,100.0000,0.1543,0.8333,0.0657,23.2753,22.2222,90.9722,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,3,20263020,288,18,3.2554,11.0333,68.6275,3.2703,11.0333,0.0195,56.2237,67.3611,83.6806,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,3,20263020,288,18,0.5882,3.2500,94.1176,3.3109,18.3833,0.0121,56.3599,66.6667,84.3750,1.0000,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,3,20263020,288,18,0.6962,3.3333,99.0196,0.4742,2.7000,0.0444,30.0769,29.5139,94.4444,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,3,20263020,288,18,0.0785,0.3667,100.0000,0.4681,2.7333,0.0537,30.4936,29.5139,93.7500,1.0000,0.3472,0.0000
FIFO,HIGH,DENSE,4,20263021,288,18,4.0053,9.1500,67.0455,2.9542,9.4000,0.0102,55.8507,67.0139,84.0278,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,4,20263021,288,18,0.9453,4.1000,97.7273,3.1136,18.9667,0.0174,55.6165,64.5833,81.5972,1.0000,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,4,20263021,288,18,0.3193,2.6000,100.0000,0.2181,1.5167,0.0720,24.6365,22.5694,93.4028,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,4,20263021,288,18,0.1793,0.9000,100.0000,0.3770,2.7167,0.0524,29.6698,28.4722,91.6667,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,5,20263022,288,18,1.8696,6.8667,93.8144,1.5650,6.3500,0.0143,50.2780,59.7222,89.9306,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,5,20263022,288,18,0.3826,0.9667,100.0000,2.2741,11.7167,0.0122,52.1505,63.1944,89.2361,0.9999,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,5,20263022,288,18,0.1043,0.4667,100.0000,0.1992,1.3833,0.0631,24.5063,24.3056,95.4861,1.0000,0.3472,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,5,20263022,288,18,0.1043,0.4667,100.0000,0.2181,1.4333,0.0580,25.8003,25.6944,95.1389,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,6,20263023,288,18,5.7673,14.2167,51.8868,5.3498,15.9167,0.0230,55.0925,65.6250,78.8194,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,6,20263023,288,18,0.7564,3.1833,87.7358,5.6931,29.7333,0.0155,55.7744,68.0556,77.4306,0.9990,0.3472,0.0000
GEO_NEAREST,HIGH,DENSE,6,20263023,288,18,0.2564,1.5000,99.0566,0.2810,1.4667,0.0401,30.6160,30.2083,92.7083,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,6,20263023,288,18,0.1141,0.9667,100.0000,0.3866,2.2167,0.0319,30.9504,31.9444,90.6250,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,7,20263024,288,18,5.7896,18.0333,50.4950,6.5249,17.9333,0.0145,57.9281,70.8333,79.8611,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,7,20263024,288,18,0.2958,1.0667,93.0693,5.2921,30.2500,0.0201,53.8274,64.9306,83.6806,0.9988,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,7,20263024,288,18,0.3424,1.9333,99.0099,0.3332,1.7667,0.0622,22.7811,21.5278,97.9167,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,7,20263024,288,18,0.0493,0.3667,100.0000,0.3605,2.3500,0.0431,27.1064,27.7778,97.5694,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,8,20263025,288,18,2.5348,7.5667,82.8283,2.5434,8.5000,0.0154,54.5046,65.9722,85.4167,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,8,20263025,288,18,0.4486,1.8667,97.9798,2.0793,10.3833,0.0155,53.1808,61.8056,85.7639,1.0000,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,8,20263025,288,18,0.0938,0.8333,100.0000,0.1306,0.9167,0.0868,23.0810,21.5278,93.4028,1.0000,0.3472,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,8,20263025,288,18,0.0990,0.8333,100.0000,0.2162,1.6167,0.0831,25.8913,26.0417,91.3194,1.0000,0.0000,0.0000
FIFO,HIGH,DENSE,9,20263026,288,18,2.9227,11.7833,67.0000,3.3592,11.4500,0.0145,51.1197,64.5833,81.9444,1.0000,0.0000,0.0000
WEIGHTED_SCORING,HIGH,DENSE,9,20263026,288,18,0.3515,1.8167,97.0000,2.8283,17.8667,0.0160,50.6528,62.8472,83.6806,0.9997,0.0000,0.0000
GEO_NEAREST,HIGH,DENSE,9,20263026,288,18,0.0167,0.2167,100.0000,0.1069,0.8500,0.0683,21.3039,18.7500,92.3611,1.0000,0.0000,0.0000
MULTI_OBJECTIVE_OPTIMIZATION,HIGH,DENSE,9,20263026,288,18,0.0707,0.5000,100.0000,0.1374,1.0167,0.0615,22.6552,21.5278,91.6667,1.0000,0.0000,0.0000
